derp1f.tailscale.com, 199.38.181.104
derp1g.tailscale.com, 209.177.145.120
derp1h.tailscale.com, 199.38.181.93
derp10b.tailscale.com, 192.73.240.161
derp10c.tailscale.com, 192.73.240.121
derp10d.tailscale.com, 192.73.240.132
derp11b.tailscale.com, 148.163.220.129
derp11c.tailscale.com, 148.163.220.134
derp11d.tailscale.com, 148.163.220.210
derp12d.tailscale.com, 209.177.158.246
derp12e.tailscale.com, 209.177.158.15
derp12f.tailscale.com, 199.38.182.118
derp13b.tailscale.com, 192.73.242.187
derp13c.tailscale.com, 192.73.242.28
derp13d.tailscale.com, 192.73.242.204
derp14b.tailscale.com, 176.58.93.248
derp14c.tailscale.com, 176.58.93.147
derp14d.tailscale.com, 176.58.93.154
derp15b.tailscale.com, 102.67.165.90
derp15c.tailscale.com, 102.67.165.185
derp15d.tailscale.com, 102.67.165.36
derp16b.tailscale.com, 192.73.243.135
derp16c.tailscale.com, 192.73.243.229
derp16d.tailscale.com, 192.73.243.141
derp17b.tailscale.com, 192.73.244.245
derp17c.tailscale.com, 208.111.40.12
derp17d.tailscale.com, 208.111.40.216
derp18b.tailscale.com, 176.58.90.147
derp18c.tailscale.com, 176.58.90.207
derp18d.tailscale.com, 176.58.90.104
derp19b.tailscale.com, 45.159.97.144
derp19c.tailscale.com, 45.159.97.61
derp19d.tailscale.com, 45.159.97.233
derp2d.tailscale.com, 192.73.252.65
derp2e.tailscale.com, 192.73.252.134
derp2f.tailscale.com, 208.111.34.178
derp20b.tailscale.com, 103.6.84.152
derp20c.tailscale.com, 205.147.105.30
derp20d.tailscale.com, 205.147.105.78
derp21b.tailscale.com, 162.248.221.199
derp21c.tailscale.com, 162.248.221.215
derp21d.tailscale.com, 162.248.221.248
derp3b.tailscale.com, 43.245.49.105
derp3c.tailscale.com, 43.245.49.83
derp3d.tailscale.com, 43.245.49.144
derp4f.tailscale.com, 185.40.234.219
derp4g.tailscale.com, 185.40.234.113
derp4h.tailscale.com, 185.40.234.77
derp5b.tailscale.com, 43.245.48.220
derp5c.tailscale.com, 43.245.48.50
derp5d.tailscale.com, 43.245.48.250
derp6.tailscale.com, 68.183.90.120
derp7b.tailscale.com, 103.84.155.178
derp7c.tailscale.com, 103.84.155.188
derp7d.tailscale.com, 103.84.155.46
derp8e.tailscale.com, 176.58.92.144
derp8f.tailscale.com, 176.58.88.183
derp8g.tailscale.com, 176.58.92.254
derp9d.tailscale.com, 209.177.156.94
derp9e.tailscale.com, 192.73.248.83
derp9f.tailscale.com, 209.177.156.197
